10.1. Correlacao da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
01 		 TC 21 		 0.8188 	 0.9860 	 0.9865 	 0.9865 	 0.9856 	 0.9785
02 		 TC 22 		 0.8219 	 0.9944 	 0.9762 	 0.9762 	 0.9935 	 0.9867
03 		 TC 23 		 0.8219 	 0.9859 	 0.9869 	 0.9869 	 0.9856 	 0.9784

04 		 TC 25 		 0.8629 	 0.9850 	 0.9861 	 0.9861 	 0.9847 	 0.9777
05 		 TC 26 		 0.8577 	 0.9939 	 0.9749 	 0.9749 	 0.9931 	 0.9862
06 		 TC 27 		 0.8601 	 0.9854 	 0.9866 	 0.9866 	 0.9851 	 0.9779

07 		 TC 31 		 0.8654 	 0.9898 	 0.9912 	 0.9912 	 0.9895 	 0.9819
08 		 TC 32 		 0.8648 	 0.9965 	 0.9863 	 0.9863 	 0.9955 	 0.9882
09 		 TC 33 		 0.8633 	 0.9915 	 0.9931 	 0.9931 	 0.9912 	 0.9834

10 		 TC 44 		 0.8692 	 0.9822 	 0.9839 	 0.9839 	 0.9823 	 0.9755
11 		 TC 45 		 0.8716 	 0.9921 	 0.9678 	 0.9678 	 0.9915 	 0.9853
12 		 TC 46 		 0.8789 	 0.9790 	 0.9800 	 0.9800 	 0.9792 	 0.9727



10.2. PSNR da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
01 		 TC 21 		 45.0512 	 56.8326 	 56.9996 	 56.9996 	 56.7100 	 54.8907
02 		 TC 22 		 45.1443 	 60.8189 	 54.5661 	 54.5661 	 60.1358 	 56.8790
03 		 TC 23 		 45.1266 	 56.7803 	 57.0868 	 57.0868 	 56.6756 	 54.8431

04 		 TC 25 		 46.4361 	 56.4691 	 56.8118 	 56.8118 	 56.3735 	 54.6990
05 		 TC 26 		 46.2461 	 60.3612 	 54.2631 	 54.2631 	 59.7691 	 56.6943
06 		 TC 27 		 46.3797 	 56.6130 	 57.0126 	 57.0126 	 56.5187 	 54.7680

07 		 TC 31 		 46.7724 	 58.3784 	 59.0030 	 59.0030 	 58.2340 	 55.7975
08 		 TC 32 		 46.7979 	 63.0936 	 57.1758 	 57.1758 	 61.9726 	 57.6032
09 		 TC 33 		 46.7833 	 59.2715 	 60.1822 	 60.1822 	 59.0925 	 56.2522

10 		 TC 44 		 46.1723 	 55.1932 	 55.6359 	 55.6359 	 55.1934 	 53.7975
11 		 TC 45 		 46.2152 	 58.6934 	 52.6489 	 52.6489 	 58.3504 	 55.8822
12 		 TC 46 		 46.4680 	 54.4388 	 54.6568 	 54.6568 	 54.4608 	 53.2545



10.3. Erro Medio Absoluto da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
01 		 TC 21 		 238.2948 	 31.5995 	 29.9411 	 29.9411 	 37.2768 	 51.3542
02 		 TC 22 		 234.9891 	 21.3558 	 38.9969 	 38.9969 	 27.4084 	 41.4535
03 		 TC 23 		 234.8073 	 32.0610 	 29.7673 	 29.7673 	 38.1915 	 52.6839

04 		 TC 25 		 199.4774 	 33.1960 	 30.7762 	 30.7762 	 39.3480 	 53.6333
05 		 TC 26 		 204.6897 	 22.7112 	 40.6940 	 40.6940 	 29.0110 	 43.1698
06 		 TC 27 		 201.1009 	 33.0663 	 30.0744 	 30.0744 	 39.1545 	 53.4348

07 		 TC 31 		 181.1154 	 28.1515 	 25.1153 	 25.1153 	 34.9300 	 49.5513
08 		 TC 32 		 180.5663 	 17.7724 	 30.9380 	 30.9380 	 24.9330 	 39.3343
09 		 TC 33 		 181.5357 	 25.8193 	 22.7224 	 22.7224 	 32.7212 	 47.3271

10 		 TC 44 		 205.2315 	 45.1169 	 42.8742 	 42.8742 	 51.4794 	 65.9332
11 		 TC 45 		 204.7113 	 30.7618 	 59.9419 	 59.9419 	 37.1801 	 51.3259
12 		 TC 46 		 198.6690 	 49.7441 	 48.0294 	 48.0294 	 56.1745 	 70.1812
