10.1. Correlacao da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
01 		 TC 08 		 0.9089 	 0.9825 	 0.9871 	 0.9871 	 0.9823 	 0.9758
02 		 TC 09 		 0.9081 	 0.9860 	 0.9873 	 0.9873 	 0.9863 	 0.9797

03 		 TC 13 		 0.9194 	 0.9825 	 0.9873 	 0.9873 	 0.9822 	 0.9759
04 		 TC 14 		 0.9192 	 0.9872 	 0.9880 	 0.9880 	 0.9875 	 0.9810

05 		 TC 19 		 0.9259 	 0.9803 	 0.9851 	 0.9851 	 0.9800 	 0.9739
06 		 TC 20 		 0.9320 	 0.9842 	 0.9851 	 0.9851 	 0.9843 	 0.9782

07 		 TC 41 		 0.9233 	 0.9975 	 0.9986 	 0.9986 	 0.9966 	 0.9906
08 		 TC 42 		 0.9212 	 0.9978 	 0.9988 	 0.9988 	 0.9971 	 0.9910

09 		 TC 46 		 0.9166 	 0.9984 	 0.9993 	 0.9993 	 0.9974 	 0.9914
10 		 TC 47 		 0.9164 	 0.9986 	 0.9993 	 0.9993 	 0.9976 	 0.9916



10.2. PSNR da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
01 		 TC 08 		 47.8107 	 55.2131 	 56.5195 	 56.5195 	 55.1683 	 53.7850
02 		 TC 09 		 47.7973 	 56.2206 	 56.6332 	 56.6332 	 56.2922 	 54.5271

03 		 TC 13 		 48.4238 	 55.2490 	 56.6388 	 56.6388 	 55.1734 	 53.8209
04 		 TC 14 		 48.4408 	 56.6412 	 56.8797 	 56.8797 	 56.7103 	 54.8484

05 		 TC 19 		 48.7813 	 54.7412 	 55.9313 	 55.9313 	 54.6628 	 53.4361
06 		 TC 20 		 49.1111 	 55.6327 	 55.8598 	 55.8598 	 55.6406 	 54.1269

07 		 TC 41 		 49.0044 	 63.9951 	 66.7108 	 66.7108 	 62.6843 	 57.9941
08 		 TC 42 		 48.8946 	 64.6974 	 67.2791 	 67.2791 	 63.3827 	 58.1830

09 		 TC 46 		 48.6517 	 65.9944 	 69.5850 	 69.5850 	 63.8862 	 58.4026
10 		 TC 47 		 48.6506 	 66.6178 	 69.7381 	 69.7381 	 64.3404 	 58.5091



10.3. Erro Medio Absoluto da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
01 		 TC 08 		 157.2413 	 46.5868 	 39.2696 	 39.2696 	 52.9548 	 66.8803
02 		 TC 09 		 158.6429 	 40.6351 	 38.4163 	 38.4163 	 47.2471 	 62.2231

03 		 TC 13 		 153.2648 	 41.5427 	 34.2366 	 34.2366 	 48.1387 	 61.9378
04 		 TC 14 		 152.2060 	 35.7132 	 33.4758 	 33.4758 	 41.9997 	 56.8036

05 		 TC 19 		 149.7463 	 44.5880 	 36.8679 	 36.8679 	 50.1894 	 63.7996
06 		 TC 20 		 141.4391 	 39.9994 	 37.2745 	 37.2745 	 45.3521 	 59.5896

07 		 TC 41 		 144.3851 	 15.7157 	 11.3482 	 11.3482 	 20.1984 	 33.0884
08 		 TC 42 		 146.6986 	 15.0749 	 11.1963 	 11.1963 	 19.4144 	 32.7729

09 		 TC 46 		 144.7105 	 13.3852 	 9.6450 	 9.6450 	 17.9763 	 30.3432
10 		 TC 47 		 144.8677 	 12.9476 	 9.6072 	 9.6072 	 17.5170 	 30.1338
